sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
28568313709,2020-08-23T07:27:30Z,83,21,19,43,54,60,0.041625372
28568313708,2020-08-22T07:51:30Z,88,21,22,45,73,60,0.063203463
28542050189,2020-08-21T06:59:30Z,73,17,17,39,5,61,0.083579154
28539455087,2020-08-20T06:47:30Z,85,21,20,44,45,60,0.076124567
28506719992,2020-08-18T06:54:30Z,86,21,19,46,76,60,0.058225508
28493468278,2020-08-17T06:55:30Z,82,21,22,39,39,61,0.046198268
28479056784,2020-08-16T07:18:30Z,74,18,16,40,6,59,0.054028436
28441991292,2020-08-13T06:44:30Z,75,21,14,40,38,57,0.070409134
28423751395,2020-08-12T06:50:00Z,76,21,18,37,64,56,0.060822898
28423751394,2020-08-11T06:58:30Z,76,18,19,39,44,56,0.081002893
28386870933,2020-08-09T07:59:30Z,81,19,22,40,50,59,0.080751174
28386870932,2020-08-08T07:29:30Z,85,21,20,44,39,59,0.076322637
28362923611,2020-08-07T06:55:30Z,68,14,19,35,20,60,0.104932735
28362923610,2020-08-06T06:53:00Z,74,18,20,36,46,60,0.088998764
28316328676,2020-08-04T02:47:00Z,58,15,17,26,42,60,0.104333868
28298116239,2020-08-03T06:49:30Z,85,21,22,42,73,61,0.061361457
28280399694,2020-08-02T05:28:30Z,72,16,22,34,36,61,0.051948052
28280399692,2020-08-01T07:08:30Z,79,21,20,38,57,62,0.048868778
28262413386,2020-07-31T07:05:00Z,84,21,19,44,82,61,0.061442565
28233663385,2020-07-28T06:52:00Z,84,20,22,42,38,62,0.048155738
28203367065,2020-07-27T06:56:00Z,82,21,19,42,74,61,0.041187739
28190198255,2020-07-26T07:09:00Z,85,21,17,47,39,60,0.04323827
28175376515,2020-07-25T07:38:00Z,80,19,19,42,42,60,0.07346586
28169438017,2020-07-24T06:44:30Z,76,19,22,35,55,60,0.071362373
28151577621,2020-07-23T06:59:00Z,74,19,20,35,35,61,0.111205433
28136306894,2020-07-22T06:58:00Z,80,17,23,40,27,61,0.065740741
28127236849,2020-07-21T06:58:30Z,82,21,22,39,54,63,0.062442608
28094192560,2020-07-19T07:17:30Z,79,21,14,44,68,61,0.067579127
28086752326,2020-07-18T08:11:30Z,77,17,19,41,51,60,0.1
28068662172,2020-07-17T06:56:30Z,86,21,23,42,78,62,0.072308956
28061298279,2020-07-16T06:54:00Z,86,22,20,44,83,62,0.056472632
28024906407,2020-07-14T06:56:00Z,85,21,23,41,58,64,0.061010486
28024906406,2020-07-13T07:03:00Z,82,18,23,41,20,65,0.053242982
27995511573,2020-07-12T07:54:30Z,91,21,24,46,58,66,0.054759899
27995511572,2020-07-11T07:46:00Z,84,19,21,44,53,67,0.073675497
27971902875,2020-07-10T07:00:00Z,70,16,19,35,18,66,0.064043916
27963686667,2020-07-09T06:58:30Z,74,16,20,38,20,66,0.080072793
27947036460,2020-07-08T06:57:30Z,81,17,22,42,37,66,0.069887834
27924875585,2020-07-07T07:05:00Z,86,21,24,41,56,67,0.045009785
27913656854,2020-07-06T06:58:30Z,84,21,23,40,40,69,0.059701493
27893805310,2020-07-05T08:15:00Z,80,21,15,44,55,66,0.088868941
27893805309,2020-07-04T07:28:00Z,73,14,17,42,10,66,0.069579288
27865133394,2020-07-02T06:58:00Z,84,21,21,42,41,67,0.057654076
27835228022,2020-06-30T06:58:00Z,68,16,17,35,65,66,0.09805579
27823775366,2020-06-29T07:02:00Z,86,21,21,44,76,67,0.065561417
27804564723,2020-06-28T07:24:00Z,82,21,20,41,54,69,0.104340568
27791291366,2020-06-27T07:00:30Z,79,20,19,40,62,67,0.065621939
27781898780,2020-06-26T07:05:00Z,79,19,19,41,21,66,0.079610073
27773478242,2020-06-25T06:58:30Z,82,21,20,41,53,66,0.101722724
27753391638,2020-06-24T07:02:30Z,81,21,22,38,49,66,0.068033551
27743540810,2020-06-23T06:57:00Z,85,19,23,43,50,67,0.073127753
27728605605,2020-06-22T07:00:30Z,81,21,20,40,61,66,0.076162216
27699020921,2020-06-20T07:03:00Z,74,20,18,36,44,65,0.090909091
27685711577,2020-06-19T07:11:30Z,88,20,22,46,36,64,0.05908684
27681063344,2020-06-18T07:18:30Z,75,19,16,40,37,63,0.11546841
27652027174,2020-06-16T07:43:30Z,87,21,23,43,49,64,0.056652361
27618437215,2020-06-14T07:50:30Z,90,21,23,46,80,65,0.052351375
27618437213,2020-06-13T07:39:00Z,75,16,22,37,19,66,0.052389706
27596381526,2020-06-12T07:14:30Z,82,20,20,42,32,65,0.059473237
27576378720,2020-06-11T06:57:30Z,81,19,17,45,68,63,0.066788655
27566548062,2020-06-10T07:00:00Z,82,21,22,39,78,64,0.067906977
27545804036,2020-06-09T06:56:30Z,90,21,23,46,72,64,0.043518519
27537689669,2020-06-08T06:57:00Z,79,18,20,41,35,62,0.042926829
27511868536,2020-06-06T07:15:00Z,89,20,23,46,63,62,0.052732502
27490955615,2020-06-05T07:00:00Z,84,20,22,42,44,63,0.05595117
27479881569,2020-06-04T06:58:00Z,80,21,21,38,47,63,0.057502246
27453421808,2020-06-02T06:37:30Z,85,21,22,42,51,63,0.061643836
27433185186,2020-06-01T07:00:00Z,84,20,22,42,35,64,0.072657744
27433185185,2020-05-31T07:43:00Z,89,20,22,47,82,64,0.059047619
27408333409,2020-05-30T06:46:00Z,78,21,20,37,39,63,0.064382139
27408333408,2020-05-29T07:00:00Z,81,21,21,39,73,62,0.067641682
27379094473,2020-05-28T06:44:30Z,72,21,19,32,56,61,0.081268583
27369972479,2020-05-27T06:56:30Z,85,21,23,41,72,61,0.056872038
27345183774,2020-05-25T06:59:30Z,86,20,20,46,32,60,0.053977273
27309912598,2020-05-23T07:17:30Z,75,17,21,37,22,60,0.064090481
27287646065,2020-05-22T06:53:00Z,79,17,21,41,41,61,0.102788845
27276458549,2020-05-21T06:46:30Z,73,17,20,36,9,62,0.094509451
27264894909,2020-05-20T06:56:00Z,83,21,21,41,70,61,0.064015519
27264894908,2020-05-19T06:57:00Z,86,21,19,46,69,61,0.054966249
27221497085,2020-05-18T07:36:30Z,76,16,17,43,30,60,0.107705054
27173214398,2020-05-14T06:41:00Z,81,20,19,42,27,59,0.06103764
27146657188,2020-05-13T07:01:00Z,80,19,19,42,41,58,0.068532819
27134616598,2020-05-12T07:00:30Z,81,18,22,41,45,60,0.073793756
27103248238,2020-05-10T07:16:30Z,87,21,21,45,67,60,0.06899724
27092513439,2020-05-09T08:01:30Z,76,19,21,36,23,61,0.067248908
26417506884,2020-03-21T06:40:30Z,70,21,14,35,74,57,0.070991432
26111879873,2020-02-27T05:59:30Z,74,19,21,34,23,59,0.087132725
26061023021,2020-02-23T07:31:00Z,87,21,22,44,79,61,0.066606661
26017007789,2020-02-22T08:42:30Z,65,21,12,32,56,57,0.106648199
